# Constructed from biom file
#OTU ID	SRR32936402	SRR32936389	SRR32938709	SRR32936396	SRR32936412	SRR32938731	SRR32938711	SRR32938723	SRR32938694	SRR32938705	SRR32936377	SRR32936401	SRR32936410	SRR32936379	SRR32938685	SRR32936376	SRR32938686	SRR32936420	SRR32936403	SRR32936388	SRR32938688	SRR32936422	SRR32936405	SRR32936390	SRR32936421	SRR32938721	SRR32938712	SRR32938684	SRR32938702	SRR32936383	SRR32936417	SRR32938693	SRR32938725	SRR32936415	SRR32936406	SRR32938730	SRR32936385	SRR32938728	SRR32938733	SRR32938713	SRR32936394	SRR32936416	SRR32938720	SRR32938704	SRR32938717	SRR32938722	SRR32936381	SRR32936408	SRR32936395	SRR32936407	SRR32938690	SRR32936384	SRR32938703	SRR32938734	SRR32938729	SRR32936414	SRR32936423	SRR32938707	SRR32938708	SRR32936393	SRR32938699	SRR32938689	SRR32938732	SRR32936382	SRR32938724	SRR32938718	SRR32936404	SRR32938687	SRR32936378	SRR32938715	SRR32938696	SRR32936409	SRR32938698	SRR32936386	SRR32936419	SRR32938706	SRR32936391	SRR32938701	SRR32936424	SRR32936418	SRR32938726	SRR32938710	SRR32936413	SRR32938697	SRR32936380	SRR32938714	SRR32938692	SRR32938691	SRR32938716	SRR32936392	SRR32938695	SRR32936387	SRR32938727	SRR32936398	SRR32936425	SRR32936411	SRR32936397	SRR32938719	SRR32936399	SRR32938700	SRR32936400
2df318818bdb95fe9e968c46f24b6694	3437.0	2054.0	489.0	876.0	3806.0	552.0	76.0	0.0	723.0	815.0	7934.0	2320.0	2206.0	3314.0	1061.0	1166.0	400.0	1190.0	1624.0	1481.0	351.0	2709.0	4111.0	4531.0	2415.0	1426.0	1325.0	424.0	520.0	2618.0	1986.0	21.0	314.0	1613.0	4674.0	501.0	3040.0	415.0	442.0	1342.0	2569.0	2496.0	499.0	216.0	471.0	205.0	1849.0	1653.0	1028.0	4845.0	614.0	355.0	318.0	36.0	1153.0	2464.0	4893.0	269.0	649.0	2181.0	492.0	926.0	587.0	1753.0	604.0	241.0	1530.0	1256.0	3205.0	310.0	431.0	5853.0	407.0	4869.0	570.0	593.0	4410.0	1193.0	1941.0	4642.0	1924.0	859.0	1536.0	2279.0	4459.0	251.0	947.0	599.0	2046.0	1618.0	466.0	2321.0	272.0	326.0	528.0	1163.0	2542.0	1033.0	2134.0	802.0	1391.0
23e4c18880db9ea26fff40c84949538a	3344.0	0.0	0.0	0.0	0.0	0.0	77.0	26.0	18.0	0.0	0.0	330.0	77.0	0.0	0.0	0.0	1.0	21.0	608.0	0.0	2454.0	0.0	0.0	0.0	0.0	102.0	1582.0	92.0	0.0	0.0	0.0	0.0	38.0	0.0	134.0	3387.0	0.0	0.0	0.0	0.0	5.0	0.0	1027.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	20.0	1085.0	0.0	0.0	37.0	997.0	0.0	0.0	60.0	383.0	0.0	155.0	50.0	0.0	376.0	355.0	26.0	12.0	0.0	28.0	0.0	0.0	852.0	0.0	0.0	0.0	285.0	422.0	784.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	91.0	19.0	654.0	808.0	0.0	2.0	0.0	0.0	0.0
cc7a66b3eb96d4d8cc26b7d9acfc8cd0	3062.0	1.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5888.0	5034.0	0.0	461.0	2360.0	103.0	483.0	0.0	948.0	0.0	0.0	156.0	140.0	248.0	0.0	0.0	186.0	4.0	192.0	0.0	0.0	0.0	155.0	0.0	0.0	5830.0	696.0	0.0	626.0	649.0	0.0	507.0	0.0	320.0	0.0	7.0	0.0	170.0	0.0	0.0	0.0	1175.0	0.0	0.0	1375.0	0.0	180.0	0.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3999.0	171.0	0.0	477.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	301.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	345.0	0.0	125.0	0.0	226.0	0.0
7225eda0c17bb70f777684d17e3d4e6d	3061.0	0.0	0.0	1044.0	3430.0	0.0	0.0	0.0	0.0	0.0	5541.0	829.0	28.0	4631.0	22.0	3718.0	3352.0	2056.0	1984.0	1663.0	0.0	1914.0	0.0	2262.0	2719.0	0.0	0.0	0.0	0.0	1317.0	229.0	0.0	0.0	800.0	0.0	0.0	5566.0	349.0	0.0	0.0	8553.0	1200.0	0.0	0.0	0.0	0.0	2014.0	3172.0	0.0	1804.0	0.0	3177.0	722.0	0.0	0.0	752.0	383.0	0.0	0.0	2188.0	0.0	0.0	0.0	1072.0	0.0	0.0	2469.0	0.0	0.0	0.0	0.0	1774.0	0.0	213.0	3947.0	0.0	785.0	0.0	1955.0	2174.0	0.0	0.0	550.0	0.0	0.0	0.0	0.0	0.0	0.0	3353.0	0.0	0.0	0.0	5185.0	0.0	0.0	2996.0	0.0	171.0	0.0	1172.0
22623656afda19f2573e9486b67330d8	2941.0	0.0	0.0	0.0	0.0	1488.0	0.0	0.0	0.0	1089.0	251.0	1549.0	0.0	0.0	59.0	0.0	21.0	29.0	0.0	0.0	9789.0	0.0	20915.0	0.0	0.0	0.0	347.0	131.0	3767.0	2873.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2762.0	6.0	0.0	0.0	0.0	0.0	54.0	31204.0	0.0	0.0	14317.0	0.0	64.0	0.0	0.0	0.0	5365.0	26294.0	42.0	0.0	6654.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	8.0	4409.0	0.0	0.0	0.0	2262.0	0.0	1913.0	0.0	14.0	0.0	0.0	0.0	769.0	1843.0	8.0	0.0	744.0	404.0	11617.0	0.0	0.0	0.0	56.0	38.0	0.0	8950.0	0.0	0.0	0.0	0.0
eb57e7ecde4064ddbae692894fe0e0d3	2924.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	386.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2910.0	0.0	276.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	573.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	490.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e70ca6f4caf530dd543eb6c0446341c8	2663.0	1054.0	2223.0	0.0	2578.0	858.0	3461.0	22.0	2246.0	29656.0	1734.0	1700.0	0.0	1551.0	51506.0	0.0	371.0	0.0	10895.0	0.0	2390.0	1910.0	7064.0	13978.0	6298.0	3425.0	11237.0	0.0	52.0	0.0	2837.0	80.0	1092.0	3650.0	2998.0	2564.0	0.0	1060.0	5477.0	19931.0	0.0	5608.0	1662.0	21.0	396.0	0.0	3272.0	2022.0	0.0	2643.0	3922.0	0.0	0.0	50.0	7629.0	2689.0	4140.0	285.0	5088.0	0.0	3328.0	10081.0	5811.0	10537.0	18914.0	405.0	3383.0	4247.0	6718.0	1038.0	1050.0	0.0	0.0	6563.0	274.0	1390.0	5541.0	0.0	7052.0	8036.0	1442.0	3906.0	980.0	6195.0	14436.0	7345.0	48767.0	0.0	446.0	0.0	8589.0	135.0	22583.0	0.0	65.0	0.0	381.0	4177.0	4309.0	7936.0	2940.0
e052904d32d1268ec8b4c3513a11d477	2632.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	645.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0
1d2e8b072c9ff2fa1956f65788e8c9c5	2545.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	650.0	0.0	0.0
240668cc2a2b3ff84cc5dcbe8e25f0bb	2369.0	0.0	0.0	0.0	0.0	3384.0	0.0	0.0	0.0	498.0	0.0	395.0	0.0	0.0	127.0	0.0	2084.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13112.0	11455.0	0.0	0.0	0.0	33.0	5681.0	0.0	0.0	0.0	0.0	3067.0	0.0	0.0	0.0	0.0	0.0	1011.0	0.0	375.0	0.0	0.0	1371.0	0.0	1503.0	334.0	0.0	628.0	0.0	0.0	0.0	483.0	510.0	0.0	0.0	0.0	20197.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	22476.0	0.0	39.0	0.0	0.0	376.0	0.0	0.0	744.0	1256.0	0.0	2672.0	0.0	0.0	0.0	486.0	0.0	0.0	0.0	216.0	0.0	0.0	186.0	0.0	0.0	3292.0	0.0	0.0	0.0
