,SRR32936402,SRR32936389,SRR32938709,SRR32936396,SRR32936412,SRR32938731,SRR32938711,SRR32938723,SRR32938694,SRR32938705,SRR32936377,SRR32936401,SRR32936410,SRR32936379,SRR32938685,SRR32936376,SRR32938686,SRR32936420,SRR32936403,SRR32936388,SRR32938688,SRR32936422,SRR32936405,SRR32936390,SRR32936421,SRR32938721,SRR32938712,SRR32938684,SRR32938702,SRR32936383,SRR32936417,SRR32938693,SRR32938725,SRR32936415,SRR32936406,SRR32938730,SRR32936385,SRR32938728,SRR32938733,SRR32938713,SRR32936394,SRR32936416,SRR32938720,SRR32938704,SRR32938717,SRR32938722,SRR32936381,SRR32936408,SRR32936395,SRR32936407,SRR32938690,SRR32936384,SRR32938703,SRR32938734,SRR32938729,SRR32936414,SRR32936423,SRR32938707,SRR32938708,SRR32936393,SRR32938699,SRR32938689,SRR32938732,SRR32936382,SRR32938724,SRR32938718,SRR32936404,SRR32938687,SRR32936378,SRR32938715,SRR32938696,SRR32936409,SRR32938698,SRR32936386,SRR32936419,SRR32938706,SRR32936391,SRR32938701,SRR32936424,SRR32936418,SRR32938726,SRR32938710,SRR32936413,SRR32938697,SRR32936380,SRR32938714,SRR32938692,SRR32938691,SRR32938716,SRR32936392,SRR32938695,SRR32936387,SRR32938727,SRR32936398,SRR32936425,SRR32936411,SRR32936397,SRR32938719,SRR32936399,SRR32938700,SRR32936400
g__Family_XIII_UCG_001,0.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,10.0,5.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
g__Faucicola,0.0,113.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Fenollaria,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Filifactor,0.0,196.0,0.0,3.0,13.0,4.0,0.0,0.0,0.0,0.0,34.0,55.0,0.0,3.0,19.0,2.0,0.0,10.0,2.0,13.0,2.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,460.0,30.0,0.0,2.0,6.0,10.0,17.0,0.0,0.0,57.0,5.0,0.0,2.0,8.0,0.0,2.0,0.0,5.0,22.0,0.0,0.0,0.0,4.0,30.0,2.0,4.0,103.0,0.0,4.0,0.0,2.0,0.0,10.0,0.0,7.0,110.0,88.0,3.0,2.0,0.0,90.0,90.0,0.0,14.0,0.0,0.0,0.0,49.0,13.0,20.0,0.0,25.0,0.0,3.0,0.0,1.0,5.0,0.0,108.0,6.0,360.0,0.0,0.0,0.0,34.0,4.0,85.0,0.0,0.0
g__Flexilinea,0.0,13.0,0.0,3.0,0.0,0.0,5.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,22.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,10.0,0.0,0.0,17.0,0.0,2.0,2.0,0.0,7.0,75.0,0.0,15.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,13.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0
g__Fretibacterium,2.0,444.0,0.0,8.0,12.0,2.0,449.0,16.0,46.0,9.0,52.0,24.0,7.0,27.0,27.0,2.0,18.0,7.0,77.0,23.0,43.0,136.0,23.0,17.0,9.0,4.0,6.0,109.0,14.0,14.0,6.0,22.0,68.0,14.0,20.0,66.0,71.0,0.0,283.0,21.0,2.0,19.0,75.0,99.0,98.0,42.0,276.0,25.0,80.0,13.0,73.0,47.0,4.0,0.0,7.0,15.0,18.0,70.0,34.0,5.0,7.0,21.0,0.0,7.0,17.0,15.0,11.0,91.0,172.0,12.0,6.0,6.0,386.0,71.0,422.0,10.0,8.0,3.0,14.0,19.0,10.0,7.0,60.0,40.0,22.0,18.0,3.0,157.0,0.0,4.0,66.0,32.0,139.0,15.0,0.0,19.0,24.0,2.0,31.0,7.0,0.0
g__Fusobacterium,476.0,1794.0,91.0,1363.0,420.0,550.0,1074.0,634.0,1203.0,294.0,640.0,1383.0,657.0,962.0,690.0,160.0,116.0,675.0,656.0,492.0,449.0,1111.0,203.0,1898.0,168.0,149.0,435.0,569.0,351.0,777.0,1791.0,397.0,1375.0,868.0,1111.0,1033.0,1271.0,657.0,675.0,424.0,173.0,1616.0,181.0,1286.0,1011.0,1145.0,724.0,293.0,580.0,624.0,747.0,836.0,180.0,38.0,687.0,1828.0,691.0,781.0,659.0,729.0,467.0,578.0,38.0,1851.0,1033.0,162.0,491.0,457.0,384.0,294.0,491.0,292.0,2318.0,2317.0,2712.0,150.0,1434.0,257.0,700.0,1179.0,380.0,1567.0,718.0,585.0,1562.0,204.0,615.0,2619.0,532.0,863.0,968.0,414.0,1163.0,135.0,243.0,352.0,476.0,528.0,683.0,752.0,205.0
g__Gardnerella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Gemella,1755.0,6059.0,625.0,959.0,1838.0,2320.0,1683.0,259.0,2663.0,241.0,2387.0,4190.0,864.0,2120.0,1797.0,90.0,114.0,454.0,1796.0,2124.0,10198.0,3351.0,1819.0,5224.0,2850.0,22884.0,9614.0,577.0,2266.0,1665.0,5203.0,56.0,2337.0,2664.0,6877.0,2254.0,6479.0,346.0,1109.0,383.0,2237.0,6447.0,1178.0,189.0,248.0,2368.0,595.0,350.0,2041.0,4421.0,1866.0,665.0,9646.0,39.0,3161.0,2733.0,4284.0,72.0,374.0,832.0,1167.0,3966.0,44.0,2196.0,3519.0,9984.0,1065.0,298.0,1027.0,469.0,1942.0,4482.0,1429.0,2376.0,135.0,28157.0,4270.0,1693.0,1745.0,6942.0,7075.0,5808.0,1406.0,1978.0,2417.0,4922.0,1898.0,523.0,8214.0,1433.0,11660.0,2577.0,12028.0,74.0,808.0,1370.0,2355.0,9203.0,1452.0,1372.0,1145.0
g__Granulicatella,4734.0,3074.0,634.0,955.0,4671.0,558.0,300.0,93.0,1462.0,965.0,10896.0,3551.0,2958.0,4519.0,1193.0,1551.0,620.0,1533.0,2478.0,1986.0,3561.0,3671.0,5552.0,5602.0,3209.0,5186.0,1765.0,515.0,712.0,3053.0,2910.0,66.0,362.0,2143.0,7055.0,817.0,4290.0,588.0,574.0,1719.0,3807.0,3062.0,642.0,328.0,526.0,454.0,2608.0,2005.0,1119.0,6960.0,996.0,572.0,319.0,45.0,1560.0,3544.0,6704.0,283.0,651.0,2878.0,517.0,1472.0,652.0,2183.0,1764.0,1305.0,1821.0,1475.0,3488.0,342.0,870.0,8963.0,487.0,6376.0,806.0,3062.0,6666.0,1372.0,2487.0,5921.0,3353.0,4147.0,1751.0,2654.0,4780.0,254.0,971.0,779.0,3242.0,2315.0,834.0,2427.0,308.0,454.0,836.0,1668.0,3567.0,1784.0,2351.0,994.0,1916.0
g__Haemophilus,4063.0,3922.0,3005.0,8152.0,3026.0,4874.0,4860.0,90.0,11333.0,33542.0,10863.0,6305.0,3722.0,3743.0,63961.0,3675.0,475.0,1856.0,14268.0,4540.0,23383.0,2633.0,9271.0,16152.0,7916.0,13124.0,12443.0,2599.0,5430.0,12014.0,5272.0,115.0,1319.0,4351.0,10726.0,4446.0,4212.0,1387.0,13319.0,24770.0,3048.0,6784.0,2392.0,84.0,629.0,8059.0,6382.0,3339.0,1121.0,7203.0,6479.0,247.0,582.0,94.0,10910.0,3839.0,5620.0,4495.0,6639.0,4055.0,3992.0,11657.0,7034.0,11675.0,24407.0,1616.0,3882.0,6230.0,9955.0,1389.0,4802.0,3689.0,14216.0,7956.0,277.0,23637.0,7749.0,5915.0,8411.0,10025.0,3309.0,11680.0,1350.0,8522.0,15178.0,12078.0,50866.0,8423.0,2085.0,3248.0,15239.0,500.0,25183.0,3930.0,121.0,760.0,3303.0,4548.0,4519.0,9905.0,3653.0
g__Halomonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
g__Herbaspirillum,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Howardella,0.0,3.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0
g__JGI_0000069_P22,0.0,68.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,372.0,0.0,0.0,24.0,0.0,0.0,0.0,5.0,0.0,0.0,114.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,146.0,11.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,4.0,0.0,0.0,30.0,7.0,6.0,2.0,11.0,0.0,0.0,7.0,0.0,0.0,80.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,2.0,47.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,16.0,0.0,0.0
g__Johnsonella,4.0,59.0,3.0,12.0,3.0,37.0,0.0,0.0,34.0,11.0,40.0,15.0,3.0,0.0,43.0,0.0,0.0,3.0,3.0,0.0,3.0,14.0,4.0,2.0,4.0,3.0,8.0,9.0,6.0,0.0,17.0,0.0,74.0,39.0,10.0,232.0,14.0,2.0,43.0,13.0,0.0,12.0,0.0,0.0,3.0,171.0,0.0,2.0,0.0,22.0,0.0,0.0,2.0,0.0,17.0,266.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,144.0,2.0,2.0,17.0,34.0,5.0,7.0,1.0,6.0,524.0,4.0,2.0,0.0,14.0,5.0,0.0,14.0,129.0,1.0,12.0,0.0,0.0,0.0,0.0,13.0,11.0,31.0,4.0,0.0,1.0,25.0,0.0,0.0,2.0,5.0,0.0,1.0
g__Kingella,71.0,8.0,1286.0,65.0,63.0,3611.0,122.0,8.0,505.0,5693.0,150.0,19.0,177.0,79.0,228.0,70.0,1310.0,110.0,1088.0,59.0,187.0,279.0,39.0,205.0,110.0,279.0,1140.0,376.0,132.0,94.0,91.0,60.0,72.0,6.0,9.0,1555.0,86.0,1439.0,57.0,691.0,11.0,28.0,2181.0,928.0,109.0,137.0,223.0,266.0,1181.0,40.0,2242.0,550.0,8.0,40.0,1592.0,29.0,243.0,679.0,1481.0,62.0,1220.0,446.0,1295.0,63.0,421.0,53.0,133.0,1189.0,45.0,13.0,206.0,151.0,59.0,97.0,548.0,214.0,131.0,211.0,39.0,67.0,47.0,300.0,83.0,943.0,45.0,128.0,77.0,2854.0,33.0,50.0,5992.0,396.0,22.0,29.0,370.0,25.0,232.0,1437.0,231.0,349.0,171.0
g__Lachnoanaerobaculum,241.0,128.0,103.0,224.0,266.0,134.0,38.0,137.0,92.0,49.0,262.0,170.0,434.0,402.0,46.0,234.0,118.0,504.0,132.0,282.0,90.0,224.0,201.0,109.0,285.0,80.0,33.0,78.0,84.0,3572.0,316.0,11.0,30.0,189.0,290.0,50.0,220.0,192.0,154.0,88.0,356.0,166.0,36.0,7.0,43.0,352.0,326.0,348.0,17.0,92.0,275.0,206.0,27.0,15.0,123.0,259.0,186.0,75.0,25.0,305.0,135.0,105.0,21.0,697.0,58.0,32.0,215.0,118.0,77.0,63.0,40.0,428.0,90.0,234.0,129.0,39.0,440.0,89.0,340.0,108.0,35.0,361.0,186.0,102.0,160.0,35.0,75.0,493.0,135.0,322.0,87.0,57.0,16.0,265.0,81.0,99.0,209.0,139.0,232.0,97.0,332.0
g__Lachnospiraceae_NK3A20_group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Lactobacillus,35.0,6.0,4197.0,5.0,49.0,27.0,28.0,9530.0,1914.0,27.0,27.0,14.0,260.0,2.0,5.0,494.0,1417.0,12.0,73.0,577.0,48.0,22.0,164.0,44.0,17.0,28.0,20.0,12.0,177.0,56.0,17.0,26157.0,0.0,0.0,32.0,13.0,8.0,15.0,38.0,29.0,587.0,9.0,28.0,1080.0,6237.0,8.0,184.0,1256.0,6669.0,48.0,55.0,2631.0,47.0,15854.0,9.0,3.0,221.0,560.0,926.0,58.0,23.0,39.0,58.0,0.0,13.0,32.0,30.0,38.0,99.0,23.0,4564.0,1748.0,16.0,19.0,524.0,22.0,371.0,112.0,130.0,12.0,2.0,9.0,4.0,411.0,2.0,60.0,440.0,41.0,2.0,111.0,21.0,3265.0,9.0,61.0,15257.0,52299.0,316.0,74.0,351.0,45.0,25.0
g__Lactococcus,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,0.0,0.0,69.0,0.0,0.0,85.0,0.0,0.0,0.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0
g__Lautropia,119.0,544.0,17.0,169.0,215.0,235.0,39.0,27.0,12.0,9517.0,473.0,494.0,172.0,66.0,820.0,238.0,8.0,552.0,676.0,43.0,1815.0,512.0,2398.0,1616.0,64.0,1329.0,6591.0,220.0,58.0,110.0,133.0,40.0,37.0,64.0,226.0,6659.0,44.0,1515.0,280.0,20639.0,20.0,425.0,368.0,18.0,107.0,400.0,1460.0,526.0,0.0,1005.0,598.0,208.0,12.0,8.0,3093.0,125.0,328.0,154.0,2056.0,35.0,14107.0,671.0,26259.0,141.0,397.0,394.0,36.0,6156.0,1979.0,2728.0,41.0,903.0,170.0,586.0,19.0,847.0,504.0,37.0,103.0,26.0,341.0,8358.0,56.0,2632.0,409.0,26.0,475.0,3068.0,10423.0,67.0,2358.0,39.0,31.0,19.0,14.0,3341.0,404.0,2577.0,905.0,977.0,32.0
g__Lentimicrobium,0.0,155.0,0.0,83.0,21.0,2.0,0.0,113.0,76.0,58.0,8.0,8.0,6.0,0.0,11.0,0.0,0.0,53.0,0.0,3.0,13.0,328.0,0.0,0.0,17.0,0.0,0.0,80.0,414.0,0.0,8.0,0.0,21.0,31.0,36.0,457.0,0.0,8.0,94.0,2.0,71.0,0.0,21.0,71.0,41.0,191.0,7.0,9.0,29.0,2.0,34.0,0.0,565.0,0.0,18.0,37.0,3.0,10.0,73.0,82.0,2.0,0.0,0.0,0.0,4.0,0.0,6.0,9.0,12.0,18.0,28.0,0.0,220.0,192.0,2.0,14.0,105.0,82.0,16.0,45.0,6.0,0.0,17.0,35.0,0.0,12.0,0.0,0.0,2.0,145.0,183.0,186.0,97.0,2.0,0.0,0.0,72.0,2.0,3.0,181.0,0.0
g__Leptotrichia,907.0,1309.0,473.0,1962.0,829.0,1137.0,221.0,783.0,947.0,776.0,425.0,974.0,2279.0,507.0,531.0,493.0,280.0,828.0,943.0,1136.0,708.0,1551.0,2126.0,466.0,1742.0,803.0,476.0,550.0,861.0,934.0,1586.0,155.0,183.0,1367.0,6220.0,1411.0,812.0,276.0,776.0,1328.0,50.0,1214.0,504.0,1678.0,196.0,1989.0,554.0,3662.0,1486.0,439.0,1018.0,594.0,32.0,377.0,1184.0,1441.0,409.0,836.0,464.0,2032.0,571.0,491.0,386.0,687.0,1387.0,1689.0,399.0,649.0,481.0,2244.0,599.0,1434.0,646.0,1702.0,128.0,630.0,1575.0,364.0,1472.0,129.0,362.0,2245.0,1711.0,719.0,472.0,108.0,218.0,188.0,1874.0,4468.0,2085.0,1351.0,41.0,6748.0,1314.0,1052.0,2765.0,1695.0,2040.0,1137.0,860.0
g__Leuconostoc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Massilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Megasphaera,1217.0,36.0,521.0,3801.0,1530.0,116.0,46.0,238.0,80.0,87.0,3878.0,948.0,449.0,2152.0,404.0,1998.0,1498.0,3483.0,744.0,1860.0,39.0,1230.0,548.0,752.0,4180.0,117.0,102.0,94.0,593.0,1203.0,362.0,24.0,99.0,1755.0,428.0,15.0,2253.0,534.0,264.0,50.0,4286.0,412.0,110.0,37.0,515.0,367.0,272.0,1825.0,490.0,192.0,48.0,1067.0,196.0,667.0,579.0,1256.0,303.0,953.0,280.0,1850.0,38.0,753.0,127.0,369.0,77.0,47.0,1880.0,255.0,255.0,32.0,42.0,953.0,30.0,473.0,2008.0,104.0,1659.0,415.0,1456.0,343.0,8.0,32.0,1260.0,1018.0,185.0,340.0,70.0,261.0,106.0,1368.0,83.0,2960.0,14.0,3342.0,947.0,1025.0,1490.0,109.0,819.0,168.0,1790.0
g__Mobiluncus,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,8.0,0.0,8.0,12.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
g__Mogibacterium,15.0,34.0,13.0,34.0,42.0,2.0,59.0,11.0,6.0,2.0,6.0,47.0,12.0,43.0,3.0,0.0,10.0,52.0,25.0,47.0,9.0,68.0,10.0,26.0,45.0,5.0,3.0,17.0,14.0,59.0,21.0,2.0,4.0,32.0,38.0,7.0,27.0,13.0,14.0,2.0,30.0,27.0,4.0,5.0,20.0,4.0,28.0,55.0,8.0,16.0,11.0,8.0,5.0,0.0,14.0,34.0,15.0,10.0,2.0,24.0,6.0,2.0,0.0,26.0,4.0,0.0,25.0,6.0,6.0,0.0,4.0,41.0,22.0,27.0,15.0,5.0,43.0,6.0,38.0,12.0,0.0,0.0,35.0,5.0,30.0,5.0,6.0,9.0,0.0,13.0,11.0,14.0,9.0,38.0,0.0,8.0,11.0,6.0,12.0,7.0,39.0
g__Moraxella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g__Muribaculaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
